edge,pre_share,post_share,change_pp,pre_rank,post_rank
Family Pressure × Admissions Equity,30.670926517571885,38.608971570408656,7.93804505283677,1.0,1.0
Schoolwork Burden × Student Well-being,23.383127536482167,20.814248061618773,-2.568879474863394,2.0,2.0
Schoolwork Burden × Family Pressure,17.284776789569122,8.134803858850022,-9.1499729307191,3.0,4.0
Student Well-being × Admissions Equity,7.287798981089716,9.324701246193607,2.0369022651038913,4.0,3.0
Schoolwork Burden × Admissions Equity,7.22951385890683,6.924435118605901,-0.30507874030092896,5.0,5.0
After-school Services × Student Well-being,4.287194542785597,6.284705340464187,1.99751079767859,6.0,7.0
After-school Services × Family Pressure,3.3416803384854505,6.31541236981499,2.97373203132954,7.0,6.0
Shadow Education × Student Well-being,2.119851480873845,1.7733309450088282,-0.34652053586501674,8.0,8.0
Shadow Education × Family Pressure,1.9018219497452724,0.42222165357353053,-1.4796002961717418,9.0,9.0
Schoolwork Burden × Shadow Education,1.5154131767550296,0.3121881317331559,-1.2032250450218738,10.0,11.0
Shadow Education × Admissions Equity,0.4446938951731284,0.13562271296604314,-0.3090711822070853,11.0,13.0
Shadow Education × Refund Disputes,0.13815732665572922,0.20215460989278128,0.06399728323705206,12.0,12.0
Schoolwork Burden × Refund Disputes,0.09498316207581382,0.08444433071470611,-0.010538831361107712,13.0,14.0
Schoolwork Burden × After-school Services,0.08203091270183922,0.3915146242227283,0.3094837115208891,14.0,10.0
Refund Disputes × Admissions Equity,0.06044383041188153,0.05373730136390389,-0.006706529047977645,15.0,17.0
Shadow Education × After-school Services,0.04533287280891115,0.056296220476470746,0.010963347667559596,16.0,16.0
Refund Disputes × Student Well-being,0.04101545635091961,0.08188541160213925,0.040869955251219635,17.0,15.0
Family Pressure × Student Well-being,0.034539331663932304,0.05373730136390389,0.019197969699971583,18.0,17.0
Refund Disputes × Family Pressure,0.032380623434936535,0.007676757337700555,-0.02470386609723598,19.0,20.0
Refund Disputes × After-school Services,0.002158708228995769,0.010235676450267406,0.008076968221271637,20.0,19.0
After-school Services × Admissions Equity,0.002158708228995769,0.007676757337700555,0.005518049108704786,20.0,20.0
