theme,term,coefficient,std_error,p_value,ci_low,ci_high,n_months,q_value_bh
Schoolwork Burden,const,-1.5326616680892513,0.1018299507673669,3.390930679709388e-51,-1.7322447041407774,-1.3330786320377253,180,
Schoolwork Burden,time,-0.008611329517827261,0.0013939901444411274,6.513776990009781e-10,-0.011343499995735659,-0.0058791590399188635,180,
Schoolwork Burden,post_policy,-0.2793378900120714,0.2538298281552236,0.2711174792175939,-0.7768352113983006,0.21815943137415783,180,0.3795644709046334
Schoolwork Burden,post_time,0.002900461557579526,0.01332199510791084,0.8276474678991225,-0.02321016905614451,0.029011092171303564,180,0.8276474678991237
Schoolwork Burden,sin12,-0.21146643823581954,0.05180249521661738,4.4617709652538505e-05,-0.312997463169698,-0.10993541330194105,180,
Schoolwork Burden,cos12,0.2881724204261214,0.031419925342184754,4.6585228988605304e-20,0.22659049835850195,0.3497543424937408,180,
Shadow Education,const,-3.1614267783418883,0.16679436664937122,4.089630977755442e-80,-3.4883377297988245,-2.834515826884952,180,
Shadow Education,time,-0.004998935762096812,0.0028894932685434513,0.0836233249978398,-0.0106622385020129,0.0006643669778192748,180,
Shadow Education,post_policy,-1.185667354360854,0.3713397913475077,0.001408299980604411,-1.9134799714285875,-0.45785473729312054,180,0.0024645249660576
Shadow Education,post_time,0.034575994301605656,0.00922073395703369,0.00017696907119137446,0.016503687834794126,0.052648300768417186,180,0.0004129278327798
Shadow Education,sin12,-0.1900166949418881,0.07206551093277812,0.00837114838129452,-0.3312625008976107,-0.048770888986165495,180,
Shadow Education,cos12,0.12647221857753901,0.05993997111848701,0.03485996606088849,0.008992033950933467,0.24395240320414457,180,
Refund Disputes,const,-2.6058531382804917,0.24216109945353312,5.269644893119429e-27,-3.080480171666039,-2.1312261048949446,180,
Refund Disputes,time,0.0355931014217387,0.006715965037655453,1.1594568330667652e-07,0.022430051826503823,0.04875615101697358,180,
Refund Disputes,post_policy,1.0701054890456079,0.30120668050953403,0.00038125807079834683,0.4797512433440585,1.6604597347471572,180,0.0008896021651964
Refund Disputes,post_time,-0.09938303192772349,0.01717025449809159,7.118994497024682e-09,-0.13303611234936988,-0.0657299515060771,180,2.4916480739584297e-08
Refund Disputes,sin12,-0.32704979188813244,0.09614763864835321,0.0006700795113655966,-0.5154957008374761,-0.13860388293878878,180,
Refund Disputes,cos12,0.24584709927914095,0.12794257000359796,0.05466333647692826,-0.004915730017405695,0.4966099285756876,180,
After-school Services,const,-3.7627504954738162,0.07875416442511252,0.0,-3.9171058213795824,-3.60839516956805,180,
After-school Services,time,0.0013806751808911237,0.0013071162414157143,0.29084225424258836,-0.001181225575891039,0.0039425759376732865,180,
After-school Services,post_policy,0.43863300296753865,0.11910999732636923,0.00023087846448748293,0.20518169800919284,0.6720843079258845,180,0.0008896021651964
After-school Services,post_time,0.0010674997779604066,0.0033228063528812435,0.7480099436564608,-0.00544508100128772,0.007580080557208533,180,0.8276474678991237
After-school Services,sin12,-0.5063643939483802,0.061444619960547085,1.7079393772853576e-16,-0.6267936361148034,-0.385935151781957,180,
After-school Services,cos12,0.21868866049736602,0.04931954508106794,9.245017533608605e-06,0.12202412840457327,0.31535319259015876,180,
Family Pressure,const,-2.812076815354528,0.09369550217586506,6.6542276701494234e-198,-2.995716625132618,-2.6284370055764383,180,
Family Pressure,time,-0.0069807210931444865,0.0015737849022539351,9.180515246651363e-06,-0.010065282820975088,-0.0038961593653138843,180,
Family Pressure,post_policy,0.10610819390950665,0.12276782971479457,0.3874232949928792,-0.13451233079163696,0.34672871861065024,180,0.3874232949928815
Family Pressure,post_time,0.0021270443200529726,0.004078180950613723,0.6019718933251759,-0.005866043465587245,0.01012013210569319,180,0.8276474678991237
Family Pressure,sin12,-0.2127395101107296,0.03457998686012728,7.646401468138685e-10,-0.2805150389424474,-0.14496398127901183,180,
Family Pressure,cos12,0.10411026003179011,0.03941402722679771,0.008255151002067588,0.02686018618158549,0.18136033388199474,180,
Student Well-being,const,-2.5573422645191184,0.06390357970932635,0.0,-2.6825909792325824,-2.4320935498056544,180,
Student Well-being,time,-0.0057516744522675845,0.0006787920410420292,2.383385584694496e-17,-0.007082082405702396,-0.004421266498832773,180,
Student Well-being,post_policy,-0.31786865473173487,0.08832009676022963,0.000319378857564403,-0.49097286349287766,-0.14476444597059207,180,0.0008896021651964
Student Well-being,post_time,0.02573227417212105,0.0019229788857831791,7.760283186367194e-41,0.021963304812955057,0.029501243531287042,180,5.432198230445083e-40
Student Well-being,sin12,-0.3094368521641568,0.03915611517776623,2.7304784940550228e-15,-0.38618142768708075,-0.2326922766412328,180,
Student Well-being,cos12,0.14270745272288687,0.033621061002600296,2.189982998885217e-05,0.07681138403576618,0.20860352141000757,180,
Admissions Equity,const,0.41549222377575157,0.048065397078125516,5.413110001191491e-18,0.3212857766000088,0.5096986709514943,180,
Admissions Equity,time,0.011070943694475976,0.0006433336299427337,2.2845327509139673e-66,0.0098100329497448,0.012331854439207153,180,
Admissions Equity,post_policy,-0.15923373868627977,0.16623251401306166,0.33811435896093744,-0.4850434792114305,0.16657600183887095,180,0.3874232949928815
Admissions Equity,post_time,-0.005122648424818748,0.0054745106776947095,0.34941367395971856,-0.01585249218608034,0.005607195336442846,180,0.6114739294295031
Admissions Equity,sin12,0.46957674216198975,0.0407335519142323,9.532300409264472e-31,0.38974044744770187,0.5494130368762776,180,
Admissions Equity,cos12,-0.37275779959849364,0.036957843814270315,6.369576979815902e-24,-0.4451938424207199,-0.3003217567762674,180,
