Theme,horizon,estimate,low,high
Schoolwork Burden,0,-3.36,-8.92,2.19
Schoolwork Burden,12,-2.77,-6.57,1.04
Schoolwork Burden,24,-2.22,-6.67,2.22
Schoolwork Burden,36,-1.74,-8.11,4.64
Shadow Education,0,-2.75,-4.34,-1.15
Shadow Education,12,-2.0,-3.71,-0.29
Shadow Education,24,-1.04,-2.81,0.72
Shadow Education,36,0.2,-1.67,2.07
Refund Disputes,0,10.44,4.93,15.95
Refund Disputes,12,-1.02,-6.9,4.86
Refund Disputes,24,-9.93,-19.85,-0.0
Refund Disputes,36,-18.18,-33.4,-2.96
After-school Services,0,1.28,0.54,2.02
After-school Services,12,1.35,0.74,1.95
After-school Services,24,1.42,0.85,1.98
After-school Services,36,1.49,0.84,2.13
Family Pressure,0,0.6,-0.75,1.95
Family Pressure,12,0.7,-0.49,1.89
Family Pressure,24,0.79,-0.46,2.03
Family Pressure,36,0.86,-0.58,2.3
Student Well-being,0,-1.91,-2.99,-0.82
Student Well-being,12,-0.06,-1.12,1.0
Student Well-being,24,2.08,1.02,3.14
Student Well-being,36,4.57,3.4,5.73
Admissions Equity,0,-3.81,-11.69,4.08
Admissions Equity,12,-5.15,-11.16,0.86
Admissions Equity,24,-6.39,-11.84,-0.95
Admissions Equity,36,-7.53,-13.93,-1.13
