ym,message_count
2011-01-01,160
2011-02-01,137
2011-03-01,161
2011-04-01,98
2011-05-01,63
2011-06-01,70
2011-07-01,73
2011-08-01,72
2011-09-01,77
2011-10-01,46
2011-11-01,62
2011-12-01,59
2012-01-01,40
2012-02-01,117
2012-03-01,100
2012-04-01,58
2012-05-01,86
2012-06-01,95
2012-07-01,85
2012-08-01,70
2012-09-01,80
2012-10-01,60
2012-11-01,56
2012-12-01,45
2013-01-01,92
2013-02-01,93
2013-03-01,166
2013-04-01,114
2013-05-01,132
2013-06-01,158
2013-07-01,187
2013-08-01,166
2013-09-01,184
2013-10-01,165
2013-11-01,131
2013-12-01,155
2014-01-01,95
2014-02-01,219
2014-03-01,355
2014-04-01,207
2014-05-01,233
2014-06-01,307
2014-07-01,385
2014-08-01,391
2014-09-01,367
2014-10-01,242
2014-11-01,209
2014-12-01,242
2015-01-01,225
2015-02-01,191
2015-03-01,449
2015-04-01,228
2015-05-01,355
2015-06-01,504
2015-07-01,656
2015-08-01,622
2015-09-01,639
2015-10-01,371
2015-11-01,306
2015-12-01,353
2016-01-01,416
2016-02-01,371
2016-03-01,649
2016-04-01,505
2016-05-01,535
2016-06-01,620
2016-07-01,706
2016-08-01,729
2016-09-01,667
2016-10-01,536
2016-11-01,435
2016-12-01,429
2017-01-01,406
2017-02-01,723
2017-03-01,860
2017-04-01,557
2017-05-01,823
2017-06-01,519
2017-07-01,568
2017-08-01,598
2017-09-01,520
2017-10-01,260
2017-11-01,276
2017-12-01,237
2018-01-01,308
2018-02-01,234
2018-03-01,481
2018-04-01,420
2018-05-01,543
2018-06-01,732
2018-07-01,944
2018-08-01,925
2018-09-01,902
2018-10-01,394
2018-11-01,426
2018-12-01,461
2019-01-01,570
2019-02-01,711
2019-03-01,1257
2019-04-01,884
2019-05-01,1222
2019-06-01,1328
2019-07-01,2005
2019-08-01,1876
2019-09-01,1628
2019-10-01,1239
2019-11-01,804
2019-12-01,973
2020-01-01,566
2020-02-01,311
2020-03-01,919
2020-04-01,1820
2020-05-01,1926
2020-06-01,2231
2020-07-01,2540
2020-08-01,2457
2020-09-01,2116
2020-10-01,999
2020-11-01,1163
2020-12-01,1017
2021-01-01,1372
2021-02-01,1188
2021-03-01,2796
2021-04-01,3094
2021-05-01,2856
2021-06-01,2958
2021-07-01,2925
2021-08-01,4408
2021-09-01,4268
2021-10-01,2216
2021-11-01,1529
2021-12-01,1427
2022-01-01,1037
2022-02-01,1933
2022-03-01,2879
2022-04-01,2729
2022-05-01,3111
2022-06-01,4050
2022-07-01,4366
2022-08-01,2993
2022-09-01,2113
2022-10-01,849
2022-11-01,857
2022-12-01,615
2023-01-01,494
2023-02-01,1718
2023-03-01,1511
2023-04-01,1448
2023-05-01,1664
2023-06-01,2050
2023-07-01,2350
2023-08-01,2289
2023-09-01,1904
2023-10-01,1197
2023-11-01,1038
2023-12-01,949
2024-01-01,1033
2024-02-01,1010
2024-03-01,1809
2024-04-01,1265
2024-05-01,1560
2024-06-01,1527
2024-07-01,1803
2024-08-01,1725
2024-09-01,1504
2024-10-01,875
2024-11-01,617
2024-12-01,438
2025-01-01,253
2025-02-01,418
2025-03-01,731
2025-04-01,617
2025-05-01,604
2025-06-01,587
2025-07-01,527
2025-08-01,433
2025-09-01,251
2025-10-01,149
2025-11-01,138
2025-12-01,103
