ym,total_messages,primary_count_schoolwork_burden,any_count_schoolwork_burden,primary_count_shadow_education,any_count_shadow_education,primary_count_refund_disputes,any_count_refund_disputes,primary_count_after_school_services,any_count_after_school_services,primary_count_family_pressure,any_count_family_pressure,primary_count_student_wellbeing,any_count_student_wellbeing,primary_count_admissions_equity,any_count_admissions_equity,primary_share_schoolwork_burden,any_share_schoolwork_burden,primary_share_shadow_education,any_share_shadow_education,primary_share_refund_disputes,any_share_refund_disputes,primary_share_after_school_services,any_share_after_school_services,primary_share_family_pressure,any_share_family_pressure,primary_share_student_wellbeing,any_share_student_wellbeing,primary_share_admissions_equity,any_share_admissions_equity
2011-01-01,160,81,111,6,6,0,0,6,9,22,69,13,60,32,42,0.50625,0.69375,0.0375,0.0375,0.0,0.0,0.0375,0.05625,0.1375,0.43125,0.08125,0.375,0.2,0.2625
2011-02-01,137,49,81,4,5,0,0,3,10,31,74,15,36,35,42,0.35766423357664234,0.5912408759124088,0.029197080291970802,0.0364963503649635,0.0,0.0,0.021897810218978103,0.072992700729927,0.22627737226277372,0.5401459854014599,0.10948905109489052,0.26277372262773724,0.25547445255474455,0.30656934306569344
2011-03-01,161,59,88,5,6,1,1,3,13,21,64,26,52,46,54,0.36645962732919257,0.546583850931677,0.031055900621118012,0.037267080745341616,0.006211180124223602,0.006211180124223602,0.018633540372670808,0.08074534161490683,0.13043478260869565,0.39751552795031053,0.16149068322981366,0.32298136645962733,0.2857142857142857,0.33540372670807456
2011-04-01,98,36,53,0,0,2,2,1,9,7,34,20,34,32,34,0.3673469387755102,0.5408163265306123,0.0,0.0,0.02040816326530612,0.02040816326530612,0.01020408163265306,0.09183673469387756,0.07142857142857142,0.3469387755102041,0.20408163265306123,0.3469387755102041,0.32653061224489793,0.3469387755102041
2011-05-01,63,19,32,4,5,0,0,0,2,6,21,11,16,23,29,0.30158730158730157,0.5079365079365079,0.06349206349206349,0.07936507936507936,0.0,0.0,0.0,0.031746031746031744,0.09523809523809523,0.3333333333333333,0.1746031746031746,0.25396825396825395,0.36507936507936506,0.4603174603174603
2011-06-01,70,23,33,2,2,0,0,0,0,7,35,6,11,32,35,0.32857142857142857,0.4714285714285714,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.1,0.5,0.08571428571428572,0.15714285714285714,0.45714285714285713,0.5
2011-07-01,73,24,40,7,9,0,0,0,1,5,29,6,18,31,32,0.3287671232876712,0.547945205479452,0.0958904109589041,0.1232876712328767,0.0,0.0,0.0,0.0136986301369863,0.0684931506849315,0.3972602739726027,0.0821917808219178,0.2465753424657534,0.4246575342465753,0.4383561643835616
2011-08-01,72,23,42,2,2,0,0,1,3,14,31,8,19,24,33,0.3194444444444444,0.5833333333333334,0.027777777777777776,0.027777777777777776,0.0,0.0,0.013888888888888888,0.041666666666666664,0.19444444444444445,0.4305555555555556,0.1111111111111111,0.2638888888888889,0.3333333333333333,0.4583333333333333
2011-09-01,77,29,48,1,5,1,1,2,4,17,36,12,22,15,21,0.37662337662337664,0.6233766233766234,0.012987012987012988,0.06493506493506493,0.012987012987012988,0.012987012987012988,0.025974025974025976,0.05194805194805195,0.22077922077922077,0.4675324675324675,0.15584415584415584,0.2857142857142857,0.19480519480519481,0.2727272727272727
2011-10-01,46,17,29,0,0,1,1,1,1,8,22,5,16,14,16,0.3695652173913043,0.6304347826086957,0.0,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.17391304347826086,0.4782608695652174,0.10869565217391304,0.34782608695652173,0.30434782608695654,0.34782608695652173
2011-11-01,62,21,35,3,4,0,0,3,6,10,23,13,26,12,15,0.3387096774193548,0.5645161290322581,0.04838709677419355,0.06451612903225806,0.0,0.0,0.04838709677419355,0.0967741935483871,0.16129032258064516,0.3709677419354839,0.20967741935483872,0.41935483870967744,0.1935483870967742,0.24193548387096775
2011-12-01,59,17,33,2,3,0,0,4,6,16,36,11,20,9,15,0.288135593220339,0.559322033898305,0.03389830508474576,0.05084745762711865,0.0,0.0,0.06779661016949153,0.1016949152542373,0.2711864406779661,0.6101694915254238,0.1864406779661017,0.3389830508474576,0.15254237288135594,0.2542372881355932
2012-01-01,40,20,28,1,2,0,0,0,5,6,20,7,13,6,8,0.5,0.7,0.025,0.05,0.0,0.0,0.0,0.125,0.15,0.5,0.175,0.325,0.15,0.2
2012-02-01,117,50,74,4,5,0,1,3,7,15,45,13,35,32,39,0.42735042735042733,0.6324786324786325,0.03418803418803419,0.042735042735042736,0.0,0.008547008547008548,0.02564102564102564,0.05982905982905983,0.1282051282051282,0.38461538461538464,0.1111111111111111,0.29914529914529914,0.27350427350427353,0.3333333333333333
2012-03-01,100,25,40,10,13,0,0,5,11,14,40,10,29,36,42,0.25,0.4,0.1,0.13,0.0,0.0,0.05,0.11,0.14,0.4,0.1,0.29,0.36,0.42
2012-04-01,58,18,26,6,8,0,0,2,4,6,23,5,18,21,22,0.3103448275862069,0.4482758620689655,0.10344827586206896,0.13793103448275862,0.0,0.0,0.034482758620689655,0.06896551724137931,0.10344827586206896,0.39655172413793105,0.08620689655172414,0.3103448275862069,0.3620689655172414,0.3793103448275862
2012-05-01,86,14,31,5,5,0,0,2,5,7,33,10,18,48,52,0.16279069767441862,0.36046511627906974,0.05813953488372093,0.05813953488372093,0.0,0.0,0.023255813953488372,0.05813953488372093,0.08139534883720931,0.38372093023255816,0.11627906976744186,0.20930232558139536,0.5581395348837209,0.6046511627906976
2012-06-01,95,27,45,3,4,1,1,2,2,10,37,7,22,45,49,0.28421052631578947,0.47368421052631576,0.031578947368421054,0.042105263157894736,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.10526315789473684,0.3894736842105263,0.07368421052631578,0.23157894736842105,0.47368421052631576,0.5157894736842106
2012-07-01,85,28,41,5,7,2,2,0,1,10,40,9,24,31,35,0.32941176470588235,0.4823529411764706,0.058823529411764705,0.08235294117647059,0.023529411764705882,0.023529411764705882,0.0,0.011764705882352941,0.11764705882352941,0.47058823529411764,0.10588235294117647,0.2823529411764706,0.36470588235294116,0.4117647058823529
2012-08-01,70,7,17,2,3,1,1,0,1,12,26,5,9,43,47,0.1,0.24285714285714285,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.17142857142857143,0.37142857142857144,0.07142857142857142,0.12857142857142856,0.6142857142857143,0.6714285714285714
2012-09-01,80,27,43,8,9,0,0,2,6,8,30,12,19,23,31,0.3375,0.5375,0.1,0.1125,0.0,0.0,0.025,0.075,0.1,0.375,0.15,0.2375,0.2875,0.3875
2012-10-01,60,25,39,8,8,0,1,2,4,7,22,9,21,9,10,0.4166666666666667,0.65,0.13333333333333333,0.13333333333333333,0.0,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.11666666666666667,0.36666666666666664,0.15,0.35,0.15,0.16666666666666666
2012-11-01,56,12,21,10,10,1,2,2,4,3,11,11,23,17,20,0.21428571428571427,0.375,0.17857142857142858,0.17857142857142858,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.05357142857142857,0.19642857142857142,0.19642857142857142,0.4107142857142857,0.30357142857142855,0.35714285714285715
2012-12-01,45,7,21,6,7,0,0,1,6,9,14,12,15,10,13,0.15555555555555556,0.4666666666666667,0.13333333333333333,0.15555555555555556,0.0,0.0,0.022222222222222223,0.13333333333333333,0.2,0.3111111111111111,0.26666666666666666,0.3333333333333333,0.2222222222222222,0.28888888888888886
2013-01-01,92,49,64,7,7,0,0,1,5,8,35,10,31,17,21,0.532608695652174,0.6956521739130435,0.07608695652173914,0.07608695652173914,0.0,0.0,0.010869565217391304,0.05434782608695652,0.08695652173913043,0.3804347826086957,0.10869565217391304,0.33695652173913043,0.18478260869565216,0.22826086956521738
2013-02-01,93,44,58,6,7,0,0,2,6,11,32,6,29,24,32,0.4731182795698925,0.6236559139784946,0.06451612903225806,0.07526881720430108,0.0,0.0,0.021505376344086023,0.06451612903225806,0.11827956989247312,0.34408602150537637,0.06451612903225806,0.3118279569892473,0.25806451612903225,0.34408602150537637
2013-03-01,166,48,81,14,19,0,0,8,11,20,60,23,51,53,66,0.2891566265060241,0.4879518072289157,0.08433734939759036,0.1144578313253012,0.0,0.0,0.04819277108433735,0.06626506024096386,0.12048192771084337,0.3614457831325301,0.13855421686746988,0.3072289156626506,0.3192771084337349,0.39759036144578314
2013-04-01,114,34,54,9,12,1,1,4,6,9,40,10,29,47,53,0.2982456140350877,0.47368421052631576,0.07894736842105263,0.10526315789473684,0.008771929824561403,0.008771929824561403,0.03508771929824561,0.05263157894736842,0.07894736842105263,0.3508771929824561,0.08771929824561403,0.2543859649122807,0.41228070175438597,0.4649122807017544
2013-05-01,132,28,46,9,10,0,0,4,10,10,52,15,27,66,74,0.21212121212121213,0.3484848484848485,0.06818181818181818,0.07575757575757576,0.0,0.0,0.030303030303030304,0.07575757575757576,0.07575757575757576,0.3939393939393939,0.11363636363636363,0.20454545454545456,0.5,0.5606060606060606
2013-06-01,158,49,64,4,4,1,1,0,4,10,64,15,36,79,83,0.310126582278481,0.4050632911392405,0.02531645569620253,0.02531645569620253,0.006329113924050633,0.006329113924050633,0.0,0.02531645569620253,0.06329113924050633,0.4050632911392405,0.0949367088607595,0.22784810126582278,0.5,0.5253164556962026
2013-07-01,187,63,77,18,24,2,3,1,2,11,59,10,42,82,94,0.33689839572192515,0.4117647058823529,0.0962566844919786,0.12834224598930483,0.0106951871657754,0.016042780748663103,0.0053475935828877,0.0106951871657754,0.058823529411764705,0.3155080213903743,0.053475935828877004,0.22459893048128343,0.4385026737967914,0.5026737967914439
