specification,theme_chinese,theme,term,coefficient,std_error,z_value,p_value,ci_low,ci_high,n_months,converged,q_value_bh,significant_fdr_005
announcement_2021_07,学业负担与学校教学,Schoolwork Burden,time,-0.008476398445155933,0.0013587782734795783,-6.2382499121431,4.424933378574994e-10,-0.011139554924151421,-0.0058132419661604436,180,True,,False
announcement_2021_07,学业负担与学校教学,Schoolwork Burden,post_policy,-0.31327108368120105,0.25174151975985937,-1.2444156370392767,0.21334663076028892,-0.8066753958239037,0.18013322846150165,180,True,0.25935740137014174,False
announcement_2021_07,学业负担与学校教学,Schoolwork Burden,post_time,0.003315823745523716,0.013025538820974925,0.25456326921265404,0.7990604316187124,-0.022213763222815458,0.028845410713862887,180,True,0.7990604316187124,False
announcement_2021_07,学业负担与学校教学,Schoolwork Burden,post_period_slope,-0.005160574699632216,0.012834783053119815,-0.40207728313551894,0.6876271506492273,-0.030316749483747053,0.019995600084482618,180,True,,False
announcement_2021_07,校外培训与隐形变异,Shadow Education,time,-0.0049531236095803,0.002921882771330369,-1.695182181222514,0.09004086607890863,-0.010679908608435906,0.0007736613892753066,180,True,,False
announcement_2021_07,校外培训与隐形变异,Shadow Education,post_policy,-1.1519777485023337,0.3997861467619614,-2.881484908450913,0.0039580618863565365,-1.9355441976738224,-0.36841129933084504,180,True,0.006926608301123939,True
announcement_2021_07,校外培训与隐形变异,Shadow Education,post_time,0.032706841497231284,0.009606405529907667,3.40469090081664,0.0006623898383358893,0.013878632637725846,0.05153505035673672,180,True,0.0015455762894504084,True
announcement_2021_07,校外培训与隐形变异,Shadow Education,post_period_slope,0.027753717887650985,0.009650505868284016,2.8758821834265103,0.004029000653410571,0.008838726385814313,0.04666870938948765,180,True,,False
announcement_2021_07,培训退费与机构纠纷,Refund Disputes,time,0.03551664804902864,0.006911562813762686,5.138728968549041,2.766030117510049e-07,0.02197023385716746,0.04906306224088982,180,True,,False
announcement_2021_07,培训退费与机构纠纷,Refund Disputes,post_policy,1.10057715563091,0.31380033578059374,3.5072529571811017,0.00045275853283672135,0.4855397991643706,1.7156145120974495,180,True,0.0010564365766190166,True
announcement_2021_07,培训退费与机构纠纷,Refund Disputes,post_time,-0.09648115274137326,0.01656325755367809,-5.825010715959575,5.71089352464998e-09,-0.12894454101324332,-0.06401776446950319,180,True,1.9988127336274933e-08,True
announcement_2021_07,培训退费与机构纠纷,Refund Disputes,post_period_slope,-0.060964504692344615,0.015103298932216715,-4.036502552584837,5.425393569027324e-05,-0.09056697059948937,-0.03136203878519986,180,True,,False
announcement_2021_07,学校课后服务,After-school Services,time,0.0014557816705287343,0.001340676973490287,1.08585565301296,0.2775428596454098,-0.0011718969124143888,0.004083460253471857,180,True,,False
announcement_2021_07,学校课后服务,After-school Services,post_policy,0.4052522182493701,0.11308763595693563,3.583523652432634,0.0003389900521513739,0.18360452467699942,0.6268999118217408,180,True,0.0010564365766190166,True
announcement_2021_07,学校课后服务,After-school Services,post_time,0.0017040576863939798,0.0030244099999092644,0.5634347480814782,0.573138881269684,-0.004223676987910967,0.0076317923606989265,180,True,0.798134959819815,False
announcement_2021_07,学校课后服务,After-school Services,post_period_slope,0.003159839356922714,0.002589212273115385,1.2203863660513012,0.2223184433304114,-0.0019150166983834408,0.00823469541222887,180,True,,False
announcement_2021_07,家庭教育压力与时间成本,Family Pressure,time,-0.007112409626950549,0.0015747274469936775,-4.516597231177304,6.284126937530328e-06,-0.010198818708524864,-0.004026000545376234,180,True,,False
announcement_2021_07,家庭教育压力与时间成本,Family Pressure,post_policy,0.1386682595064187,0.11362354993457967,1.2204182987264425,0.22230634403155003,-0.08402980616094585,0.36136632517378325,180,True,0.25935740137014174,False
announcement_2021_07,家庭教育压力与时间成本,Family Pressure,post_time,0.0016056032918579106,0.003946392923870757,0.40685337796599336,0.6841156798455557,-0.006129184707772492,0.009340391291488313,180,True,0.798134959819815,False
announcement_2021_07,家庭教育压力与时间成本,Family Pressure,post_period_slope,-0.005506806335092638,0.003610287790979976,-1.525309519327231,0.1271819145466546,-0.012582970405413391,0.001569357735228115,180,True,,False
announcement_2021_07,学生身心健康,Student Well-being,time,-0.005666994521247328,0.0006659910385785943,-8.509115277800484,1.752655193234338e-17,-0.006972312970887799,-0.004361676071606858,180,True,,False
announcement_2021_07,学生身心健康,Student Well-being,post_policy,-0.3517559959075084,0.08484427294637643,-4.145901469741233,3.384793660616933e-05,-0.5180477151768923,-0.1854642766381245,180,True,0.0002369355562431853,True
announcement_2021_07,学生身心健康,Student Well-being,post_time,0.025665979930132712,0.0018807430873941885,13.646722990588524,2.1116287507504184e-42,0.021979791214667435,0.02935216864559799,180,True,1.478140125525293e-41,True
announcement_2021_07,学生身心健康,Student Well-being,post_period_slope,0.019998985408885384,0.0017965993995767648,11.13157747553331,8.806308645325966e-29,0.016477650585714924,0.023520320232055844,180,True,,False
announcement_2021_07,招生升学与教育公平,Admissions Equity,time,0.01104790957841163,0.000645427309963271,17.117201903093203,1.1045863666923231e-65,0.009782895296245047,0.012312923860578211,180,True,,False
announcement_2021_07,招生升学与教育公平,Admissions Equity,post_policy,-0.13719955843645634,0.15405860333254737,-0.8905673261252441,0.3731613344961302,-0.4391488724767916,0.16474975560387886,180,True,0.3731613344961302,False
announcement_2021_07,招生升学与教育公平,Admissions Equity,post_time,-0.005516926187338704,0.005200981062353818,-1.0607472169571597,0.2888047956147497,-0.015710661753827057,0.004676809379149648,180,True,0.505408392325812,False
announcement_2021_07,招生升学与教育公平,Admissions Equity,post_period_slope,0.0055309833910729255,0.005190755982110033,1.0655448667083345,0.2866294334091204,-0.004642898333862739,0.01570486511600859,180,True,,False
delayed_2021_09,学业负担与学校教学,Schoolwork Burden,time,-0.00877007143262095,0.0014407606009945062,-6.0871122007134835,1.1496540641465662e-09,-0.011593910320914466,-0.005946232544327435,180,True,,False
delayed_2021_09,学业负担与学校教学,Schoolwork Burden,post_policy,-0.23539388794327587,0.2568724282645814,-0.9163844073635556,0.3594653106570581,-0.738854595963204,0.2680668200766523,180,True,0.4131526051762503,False
delayed_2021_09,学业负担与学校教学,Schoolwork Burden,post_time,0.002257168883869202,0.013616173983099026,0.16577115470696072,0.8683370472149514,-0.024430041730236184,0.02894437949797459,180,True,0.8719841213867616,False
delayed_2021_09,学业负担与学校教学,Schoolwork Burden,post_period_slope,-0.006512902548751748,0.013401341108329417,-0.48598886455503654,0.6269750610757768,-0.032779531121077406,0.019753726023573906,180,True,,False
delayed_2021_09,校外培训与隐形变异,Shadow Education,time,-0.005061595138189419,0.002862448105949185,-1.7682748999605005,0.07701495793100853,-0.010671890333464714,0.0005487000570858769,180,True,,False
delayed_2021_09,校外培训与隐形变异,Shadow Education,post_policy,-1.2196191350258725,0.3419486673608965,-3.56667316307647,0.00036154193791989805,-1.8898262076146968,-0.5494120624370482,180,True,0.0012653967827196432,True
delayed_2021_09,校外培训与隐形变异,Shadow Education,post_time,0.03660028627257181,0.008764553309954516,4.175944281267855,2.9675245632567725e-05,0.019422077444479633,0.05377849510066399,180,True,6.92422398093247e-05,True
delayed_2021_09,校外培训与隐形变异,Shadow Education,post_period_slope,0.03153869113438239,0.008670604781998494,3.6374269070436185,0.00027537530293030726,0.014544305761665339,0.04853307650709944,180,True,,False
delayed_2021_09,培训退费与机构纠纷,Refund Disputes,time,0.03893004373500658,0.007336865991170465,5.30608624743274,1.1200397820069546e-07,0.024550050632915703,0.05331003683709746,180,True,,False
delayed_2021_09,培训退费与机构纠纷,Refund Disputes,post_policy,0.7616076521752467,0.29889911693213955,2.5480424967202495,0.01083292737393449,0.1757761479774269,1.3474391563730665,180,True,0.01895762290438536,True
delayed_2021_09,培训退费与机构纠纷,Refund Disputes,post_time,-0.10101966974383694,0.017675250575877925,-5.715317545862816,1.0949935263841751e-08,-0.13566252429027853,-0.06637681519739536,180,True,3.8324773423446135e-08,True
delayed_2021_09,培训退费与机构纠纷,Refund Disputes,post_period_slope,-0.06208962600883036,0.01642626337902708,-3.779899577654763,0.000156891624160671,-0.09428510223172344,-0.029894149785937282,180,True,,False
delayed_2021_09,学校课后服务,After-school Services,time,0.0014865314106550069,0.0012874578030585436,1.1546253454859141,0.24824388291488575,-0.0010368395149548003,0.004009902336264814,180,True,,False
delayed_2021_09,学校课后服务,After-school Services,post_policy,0.4432395497121311,0.12103847645521276,3.661972314036361,0.0002502809132601734,0.20600849511631478,0.6804706043079474,180,True,0.0012653967827196432,True
delayed_2021_09,学校课后服务,After-school Services,post_time,0.0005979530213735787,0.003710795966296719,0.16113874942316508,0.8719841213867616,-0.0066750734265444995,0.007870979469291656,180,True,0.8719841213867616,False
delayed_2021_09,学校课后服务,After-school Services,post_period_slope,0.002084484432028586,0.003266917736167066,0.6380584392903085,0.5234356393962479,-0.0043186743308588635,0.008487643194916034,180,True,,False
delayed_2021_09,家庭教育压力与时间成本,Family Pressure,time,-0.006954499161211671,0.0015540641611751834,-4.475039921101248,7.639703710656662e-06,-0.01000040894677948,-0.003908589375643862,180,True,,False
delayed_2021_09,家庭教育压力与时间成本,Family Pressure,post_policy,0.10718101536348311,0.12344896378934048,0.8682212638607659,0.3852732157016554,-0.1347745075924135,0.34913653831937974,180,True,0.4131526051762503,False
delayed_2021_09,家庭教育压力与时间成本,Family Pressure,post_time,0.002059794359014012,0.004209493251432165,0.4893212165890094,0.6246143026209385,-0.0061906608069574424,0.010310249524985465,180,True,0.8719841213867616,False
delayed_2021_09,家庭教育压力与时间成本,Family Pressure,post_period_slope,-0.004894704802197659,0.003958290819027787,-1.236570283989358,0.21624665769563267,-0.012652954807492121,0.0028635452030968036,180,True,,False
delayed_2021_09,学生身心健康,Student Well-being,time,-0.005880018685508579,0.0007103928856240731,-8.277136222082293,1.261728597826486e-16,-0.007272363156205244,-0.004487674214811914,180,True,,False
delayed_2021_09,学生身心健康,Student Well-being,post_policy,-0.2697379550055967,0.09924248509659217,-2.7179685670210922,0.006568407783684941,-0.4642496515311704,-0.07522625848002301,180,True,0.015326284828598196,True
delayed_2021_09,学生身心健康,Student Well-being,post_time,0.02556685158115978,0.0020479268709131964,12.484260031101208,9.098528821888646e-36,0.021552988671198106,0.029580714491121457,180,True,6.368970175322053e-35,True
delayed_2021_09,学生身心健康,Student Well-being,post_period_slope,0.019686832895651204,0.0020499190675464813,9.603712267145303,7.711581518316967e-22,0.015668991523260102,0.023704674268042306,180,True,,False
delayed_2021_09,招生升学与教育公平,Admissions Equity,time,0.010925352052760849,0.0005864768961812639,18.628785079001855,1.877375830017889e-77,0.009775878458480734,0.012074825647040963,180,True,,False
delayed_2021_09,招生升学与教育公平,Admissions Equity,post_policy,-0.13479546812444437,0.16471448056606086,-0.818358335352203,0.4131526051762503,-0.4576299177661463,0.18803898151725756,180,True,0.4131526051762503,False
delayed_2021_09,招生升学与教育公平,Admissions Equity,post_time,-0.0054823591085947,0.005692002485081668,-0.9631687833874936,0.33546282805929994,-0.016638478979267256,0.005673760762077856,180,True,0.5870599491037749,False
delayed_2021_09,招生升学与教育公平,Admissions Equity,post_period_slope,0.005442992944166149,0.005694544830283812,0.9558258133679269,0.33916024455683125,-0.005718314923190124,0.01660430081152242,180,True,,False
