specification,theme_chinese,theme,date,horizon_months,predicted_with_policy,counterfactual_no_policy,effect_share,effect_pp,se_effect_pp,ci_low_pp,ci_high_pp,relative_change_pct
exclude_2025_primary_share,学业负担与学校教学,Schoolwork Burden,2021-08-01,0,0.08001256055812896,0.15748167802265303,-0.07746911746452408,-7.746911746452407,1.69976232596911,-11.078445905351863,-4.415377587552952,-49.192463807364625
exclude_2025_primary_share,学业负担与学校教学,Schoolwork Burden,2022-08-01,12,0.10529846356543072,0.14424930387568402,-0.038950840310253296,-3.8950840310253296,1.6759947267608193,-7.180033695476536,-0.6101343665741235,-27.002445948593035
exclude_2025_primary_share,学业负担与学校教学,Schoolwork Burden,2023-08-01,24,0.13738203087618533,0.13195464105561075,0.005427389820574585,0.5427389820574585,1.6076315541743311,-2.6082188641242303,3.693696828239147,4.11307232330485
exclude_2025_primary_share,学业负担与学校教学,Schoolwork Burden,2024-08-01,36,0.1773039543355208,0.12056024686063768,0.05674370747488311,5.674370747488311,1.6077025975770303,2.5232736562373312,8.82546783873929,47.0666815575422
exclude_2025_primary_share,校外培训与隐形变异,Shadow Education,2021-08-01,0,0.017353686050686403,0.04044052023564987,-0.023086834184963465,-2.3086834184963467,0.8297616342838555,-3.9350162216927034,-0.6823506152999897,-57.08837089739398
exclude_2025_primary_share,校外培训与隐形变异,Shadow Education,2022-08-01,12,0.020240459123962808,0.038176470351327575,-0.017936011227364768,-1.7936011227364768,0.8380843687289949,-3.436246485445307,-0.15095576002764655,-46.9818478824904
exclude_2025_primary_share,校外培训与隐形变异,Shadow Education,2023-08-01,24,0.02359591363843624,0.03603441265954482,-0.012438499021108582,-1.2438499021108582,0.8377991604880737,-2.885936256667483,0.39823645244576633,-34.518389792080775
exclude_2025_primary_share,校外培训与隐形变异,Shadow Education,2024-08-01,36,0.027492025141177902,0.03400829479698581,-0.00651626965580791,-0.6516269655807909,0.8474721779830215,-2.312672434427513,1.009418503265931,-19.160824424473798
exclude_2025_primary_share,培训退费与机构纠纷,Refund Disputes,2021-08-01,0,0.15190110451953012,0.06558401232617682,0.0863170921933533,8.631709219335331,2.7824339683272945,3.178138641413833,14.085279797256828,131.61300922557496
exclude_2025_primary_share,培训退费与机构纠纷,Refund Disputes,2022-08-01,12,0.08910990670842203,0.09714273323418621,-0.008032826525764175,-0.8032826525764175,2.866968412062055,-6.422540740218044,4.8159754350652095,-8.269096676947612
exclude_2025_primary_share,培训退费与机构纠纷,Refund Disputes,2023-08-01,24,0.05072229186688989,0.1415863355843447,-0.0908640437174548,-9.086404371745479,5.007721920409856,-18.901539335748797,0.7287305922578382,-64.17571536296029
exclude_2025_primary_share,培训退费与机构纠纷,Refund Disputes,2024-08-01,36,0.028356848078485736,0.2018180927639376,-0.17346124468545188,-17.346124468545188,7.808804234099364,-32.65138076737995,-2.040868169710433,-85.94930331065305
exclude_2025_primary_share,学校课后服务,After-school Services,2021-08-01,0,0.03564397842670853,0.02385688049940988,0.011787097927298651,1.178709792729865,0.44667165051840835,0.3032333577137848,2.0541862277459453,49.40754063629658
exclude_2025_primary_share,学校课后服务,After-school Services,2022-08-01,12,0.03741203271226441,0.024246093927581137,0.013165938784683275,1.3165938784683275,0.328229241085012,0.673264565941704,1.959923190994951,54.30127765737295
exclude_2025_primary_share,学校课后服务,After-school Services,2023-08-01,24,0.039264217301230246,0.02464149689058521,0.014622720410645038,1.4622720410645038,0.2954278486672378,0.8832334576767177,2.04131062445229,59.34185116908197
exclude_2025_primary_share,学校课后服务,After-school Services,2024-08-01,36,0.04120417416772082,0.025043182551087943,0.016160991616632876,1.6160991616632876,0.40134309376037836,0.8294666978929461,2.402731625433629,64.53249934853348
exclude_2025_primary_share,家庭教育压力与时间成本,Family Pressure,2021-08-01,0,0.058145334090487326,0.05709286593937922,0.001052468151108106,0.1052468151108106,0.5285263229140195,-0.9306647778006676,1.1411584080222887,1.8434319836485507
exclude_2025_primary_share,家庭教育压力与时间成本,Family Pressure,2022-08-01,12,0.05846450725040404,0.05274554102415105,0.0057189662262529875,0.5718966226252987,0.5513443668805269,-0.508738336460534,1.6525315817111315,10.842558660331868
exclude_2025_primary_share,家庭教育压力与时间成本,Family Pressure,2023-08-01,24,0.05878532307443853,0.04871214093934868,0.010073182135089849,1.0073182135089849,0.5944464559281206,-0.15779684011013162,2.1724332671281017,20.678996941710963
exclude_2025_primary_share,家庭教育压力与时间成本,Family Pressure,2024-08-01,36,0.059107788813991695,0.044972527775056385,0.01413526103893531,1.413526103893531,0.65277302287749,0.13409097905365072,2.6929612287334113,31.430879557486886
exclude_2025_primary_share,学生身心健康,Student Well-being,2021-08-01,0,0.053457314549551875,0.07281626386159805,-0.019358949312046174,-1.9358949312046174,0.5870233529993188,-3.0864607030832825,-0.7853291593259524,-26.586023898234806
exclude_2025_primary_share,学生身心健康,Student Well-being,2022-08-01,12,0.06805877895917914,0.06830136235946024,-0.00024258340028110448,-0.024258340028110448,0.5566478666475874,-1.1152881586573817,1.0667714786011608,-0.35516626887238784
exclude_2025_primary_share,学生身心健康,Student Well-being,2023-08-01,24,0.08628496006351578,0.06404706536985441,0.022237894693661373,2.223789469366137,0.5278784582094351,1.1891476912756445,3.25843124745663,34.721176630410106
exclude_2025_primary_share,学生身心健康,Student Well-being,2024-08-01,36,0.10882217408800653,0.060040679999164716,0.04878149408884181,4.878149408884181,0.5643819954552962,3.7719606977918008,5.984338119976561,81.24740440901145
exclude_2025_primary_share,招生升学与教育公平,Admissions Equity,2021-08-01,0,0.6388664238400713,0.6275035440423349,0.011362879797736425,1.1362879797736425,4.422907262086754,-7.532610253916397,9.805186213463681,1.8108072704318978
exclude_2025_primary_share,招生升学与教育公平,Admissions Equity,2022-08-01,12,0.6155770443390871,0.6580050550960043,-0.042428010756917156,-4.242801075691716,3.101768910069122,-10.322268139427194,1.8366659880437632,-6.447976414212627
exclude_2025_primary_share,招生升学与教育公平,Admissions Equity,2023-08-01,24,0.5917455145545832,0.6872537705674728,-0.09550825601288959,-9.55082560128896,2.175306033791981,-13.814425427521243,-5.287225775056676,-13.897087233734256
exclude_2025_primary_share,招生升学与教育公平,Admissions Equity,2024-08-01,36,0.5674746597987033,0.7150841557783281,-0.1476094959796248,-14.76094959796248,2.4093489794262775,-19.483273597637986,-10.038625598286977,-20.642255150928403
