specification,theme_chinese,theme,term,coefficient,std_error,z_value,p_value,ci_low,ci_high,n_months,converged,q_value_bh,significant_fdr_005
exclude_2025_primary_share,学业负担与学校教学,Schoolwork Burden,time,-0.00861247697154614,0.0013976775125313088,-6.161991514014013,7.183570202949936e-10,-0.011351874558109034,-0.005873079384983245,168,True,,False
exclude_2025_primary_share,学业负担与学校教学,Schoolwork Burden,post_policy,-0.7650901001828767,0.159126414182679,-4.808064733392058,1.5239842146899118e-06,-1.0769721409699313,-0.4532080593958222,168,True,1.0667889502829383e-05,True
exclude_2025_primary_share,学业负担与学校教学,Schoolwork Burden,post_time,0.033819562974936816,0.0032609794058035754,10.370983304815734,3.360488016525887e-25,0.02742816078523498,0.04021096516463865,168,True,1.1761708057840604e-24,True
exclude_2025_primary_share,学业负担与学校教学,Schoolwork Burden,post_period_slope,0.025207086003390677,0.0034510470535958158,7.304184965292251,2.789524259253069e-13,0.018443033778342877,0.03197113822843847,168,True,,False
exclude_2025_primary_share,校外培训与隐形变异,Shadow Education,time,-0.004997465069501005,0.002900741694460323,-1.722823193476651,0.08492050317595323,-0.010682814319096928,0.0006878841800949179,168,True,,False
exclude_2025_primary_share,校外培训与隐形变异,Shadow Education,post_policy,-0.8698022709405637,0.3037179975124685,-2.863848300280117,0.004185283987052189,-1.4650786075216278,-0.2745259343594998,168,True,0.005859397581873064,True
exclude_2025_primary_share,校外培训与隐形变异,Shadow Education,post_time,0.0180658541892408,0.006924101307423712,2.6091262081725173,0.009077375655763524,0.004494865001383623,0.031636843377097976,168,True,0.010590271598390778,True
exclude_2025_primary_share,校外培训与隐形变异,Shadow Education,post_period_slope,0.013068389119739794,0.00690661930715503,1.8921542564538594,0.058470431087051175,-0.0004685847222840635,0.026605362961763652,168,True,,False
exclude_2025_primary_share,培训退费与机构纠纷,Refund Disputes,time,0.03560055571452225,0.006725884781137986,5.293066544101402,1.2028212697726863e-07,0.022418063779325738,0.04878304764971877,168,True,,False
exclude_2025_primary_share,培训退费与机构纠纷,Refund Disputes,post_policy,0.9368222002308719,0.293803778086588,3.1885982077288935,0.0014296443822390918,0.36097737665936114,1.5126670238023827,168,True,0.0033358368918912145,True
exclude_2025_primary_share,培训退费与机构纠纷,Refund Disputes,post_time,-0.08599923581210682,0.01589250197719181,-5.411308800560729,6.25657734119286e-08,-0.11714796731163436,-0.054850504312579276,168,True,1.4598680462783342e-07,True
exclude_2025_primary_share,培训退费与机构纠纷,Refund Disputes,post_period_slope,-0.05039868009758457,0.014339534317270246,-3.5146664447035363,0.00044030665012803816,-0.07850416735943425,-0.022293192835734884,168,True,,False
exclude_2025_primary_share,学校课后服务,After-school Services,time,0.0013818056901421815,0.0013071539044205065,1.0571101730784869,0.2904613088856214,-0.0011801688847729234,0.003943780265057286,168,True,,False
exclude_2025_primary_share,学校课后服务,After-school Services,post_policy,0.41365622931744506,0.13934051787136123,2.9686715367265344,0.0029909011362444257,0.14055383270241728,0.6867586259324728,168,True,0.005234076988427745,True
exclude_2025_primary_share,学校课后服务,After-school Services,post_time,0.0028054647505266865,0.004944236641560798,0.5674212125981609,0.570428041273737,-0.006885060997975749,0.012495990499029122,168,True,0.570428041273737,False
exclude_2025_primary_share,学校课后服务,After-school Services,post_period_slope,0.004187270440668868,0.004607085496440236,0.9088762177094939,0.3634154687033484,-0.0048426171323539945,0.01321715801369173,168,True,,False
exclude_2025_primary_share,家庭教育压力与时间成本,Family Pressure,time,-0.00698332410841335,0.0015815163615523471,-4.415587646250353,1.007359528724959e-05,-0.010083039218016777,-0.0038836089988099234,168,True,,False
