specification,theme_chinese,theme,date,horizon_months,predicted_with_policy,counterfactual_no_policy,effect_share,effect_pp,se_effect_pp,ci_low_pp,ci_high_pp,relative_change_pct
month_fe_primary_share_aug2021,学业负担与学校教学,Schoolwork Burden,2021-08-01,0,0.12065712117008194,0.15756269444439633,-0.03690557327431439,-3.690557327431439,2.7987409727370705,-9.176089633996098,1.7949749791332195,-23.42278634193979
month_fe_primary_share_aug2021,学业负担与学校教学,Schoolwork Burden,2022-08-01,12,0.11483571777859232,0.1444797881897125,-0.029644070411120174,-2.9644070411120174,1.948279401795684,-6.783034668631557,0.8542205864075232,-20.517797529018626
month_fe_primary_share_aug2021,学业负担与学校教学,Schoolwork Burden,2023-08-01,24,0.1092602840165806,0.13231257959475676,-0.02305229557817616,-2.305229557817616,2.28863754272829,-6.7909591415650645,2.1805000259298315,-17.42260308791506
month_fe_primary_share_aug2021,学业负担与学校教学,Schoolwork Burden,2024-08-01,36,0.1039237640404161,0.12102506871725427,-0.017101304676838167,-1.7101304676838167,3.29269063654724,-8.163804115316408,4.743543179948774,-14.13038212503826
month_fe_primary_share_aug2021,校外培训与隐形变异,Shadow Education,2021-08-01,0,0.0069823561552879625,0.021693559824898123,-0.014711203669610162,-1.4711203669610162,0.4358883772884314,-2.3254615864463415,-0.6167791474756906,-67.81369119846262
month_fe_primary_share_aug2021,校外培训与隐形变异,Shadow Education,2022-08-01,12,0.009835357724958842,0.020413265750443155,-0.010577908025484313,-1.0577908025484313,0.4780308942600526,-1.9947313552981343,-0.12085024979872819,-51.81879349831458
month_fe_primary_share_aug2021,校外培训与隐形变异,Shadow Education,2023-08-01,24,0.0138378553866712,0.019207047646569646,-0.005369192259898447,-0.5369192259898447,0.5047963743653472,-1.526320119745925,0.4524816677662358,-27.954281983870526
month_fe_primary_share_aug2021,校外培训与隐形变异,Shadow Education,2024-08-01,36,0.019437194908249383,0.018070790024294202,0.0013664048839551815,0.13664048839551815,0.5381802868286856,-0.9181928737887056,1.191473850579742,7.561400924465392
month_fe_primary_share_aug2021,培训退费与机构纠纷,Refund Disputes,2021-08-01,0,0.16858510995306253,0.06491252530206248,0.10367258465100004,10.367258465100004,2.8872252692725997,4.708296937325709,16.0262199928743,159.71121777896082
month_fe_primary_share_aug2021,培训退费与机构纠纷,Refund Disputes,2022-08-01,12,0.08614878484126029,0.09617914038217948,-0.010030355540919189,-1.003035554091919,3.09570648787593,-7.070620270328742,5.064549162144904,-10.428826355759009
month_fe_primary_share_aug2021,培训退费与机构纠纷,Refund Disputes,2023-08-01,24,0.04198722844491776,0.140247254404151,-0.09826002595923325,-9.826002595923326,5.343798523533062,-20.299847702048122,0.6478425102014753,-70.06199613439632
