specification,theme_chinese,theme,term,coefficient,std_error,z_value,p_value,ci_low,ci_high,n_months,converged,q_value_bh,significant_fdr_005
month_fe_primary_share_aug2021,学业负担与学校教学,Schoolwork Burden,time,-0.008507857455837368,0.001421682821739214,-5.984356936541788,2.1724643935432328e-09,-0.011294304583885506,-0.005721410327789231,180,True,,False
month_fe_primary_share_aug2021,学业负担与学校教学,Schoolwork Burden,post_policy,-0.3097462805643657,0.25359519063304314,-1.2214201688571225,0.22192697461534538,-0.8067837208576996,0.18729115972896815,180,True,0.3106977644614835,False
month_fe_primary_share_aug2021,学业负担与学校教学,Schoolwork Burden,post_time,0.0038371403546938916,0.013366320768920444,0.2870752857896441,0.7740546751630241,-0.0223603669581999,0.030034647667587684,180,True,0.7740546751630241,False
month_fe_primary_share_aug2021,学业负担与学校教学,Schoolwork Burden,post_period_slope,-0.004670717101143477,0.01315562498445717,-0.3550357437720927,0.7225628136290838,-0.03045574207067953,0.021114307868392575,180,True,,False
month_fe_primary_share_aug2021,校外培训与隐形变异,Shadow Education,time,-0.005178190946043275,0.0029677299452818074,-1.744832259510583,0.081014071646241,-0.010994834754636643,0.0006384528625500924,180,True,,False
month_fe_primary_share_aug2021,校外培训与隐形变异,Shadow Education,post_policy,-1.1485544939976187,0.3927112589969989,-2.924679310012846,0.0034481136252305167,-1.9182544179551178,-0.3788545700401196,180,True,0.0060341988441534045,True
month_fe_primary_share_aug2021,校外培训与隐形变异,Shadow Education,post_time,0.03396774123148867,0.009369000078878722,3.625546050326634,0.00028835150421328723,0.015604838505733451,0.05233064395724389,180,True,0.0006728201764976703,True
month_fe_primary_share_aug2021,校外培训与隐形变异,Shadow Education,post_period_slope,0.028789550285445397,0.009397831047585873,3.063424968981635,0.0021881907020068854,0.010369801432177087,0.0472092991387137,180,True,,False
month_fe_primary_share_aug2021,培训退费与机构纠纷,Refund Disputes,time,0.035598400281790704,0.006936585173848726,5.131977679160989,2.8671350698806903e-07,0.022002943165352694,0.049193857398228714,180,True,,False
month_fe_primary_share_aug2021,培训退费与机构纠纷,Refund Disputes,post_policy,1.0719112713664851,0.3148453663489151,3.4045642271850407,0.0006626971410980229,0.4548256926232924,1.6889968501096777,180,True,0.00154629332922872,True
month_fe_primary_share_aug2021,培训退费与机构纠纷,Refund Disputes,post_time,-0.09942370909630949,0.01763551261994173,-5.637698843178736,1.7233755482695313e-08,-0.1339886786802969,-0.06485873951232209,180,True,6.03181441894336e-08,True
month_fe_primary_share_aug2021,培训退费与机构纠纷,Refund Disputes,post_period_slope,-0.06382530881451878,0.016309612114830615,-3.9133554106097543,9.102241155976601e-05,-0.09579214855958679,-0.03185846906945078,180,True,,False
month_fe_primary_share_aug2021,学校课后服务,After-school Services,time,0.0015140941959510626,0.0013681094450302773,1.1067054623817427,0.268421292937411,-0.0011673510432173618,0.004195539435119487,180,True,,False
month_fe_primary_share_aug2021,学校课后服务,After-school Services,post_policy,0.40797764788610713,0.10575169797705765,3.857882716688067,0.00011437350344595765,0.20070812854711684,0.6152471672250974,180,True,0.0008006145241217036,True
month_fe_primary_share_aug2021,学校课后服务,After-school Services,post_time,0.0015286710088415199,0.002962598654058824,0.5159899086388929,0.6058614573534569,-0.0042779156537606135,0.007335257671443654,180,True,0.7068383669123663,False
month_fe_primary_share_aug2021,学校课后服务,After-school Services,post_period_slope,0.0030427652047925824,0.0024569417230298385,1.2384360509130519,0.21555442016685633,-0.001772840572345901,0.007858370981931066,180,True,,False
month_fe_primary_share_aug2021,家庭教育压力与时间成本,Family Pressure,time,-0.0068979703721840134,0.0016251440815103553,-4.244528500988827,2.1905352590604155e-05,-0.010083194241632735,-0.003712746502735291,180,True,,False
