embedding_row,sample_id,duplicate_group_id,month
0,R001842,G001856,2021-08
1,R001843,G003461,2021-08
2,R001844,G002575,2021-08
3,R001845,G005089,2021-08
4,R001846,G000199,2021-08
5,R001847,G000285,2021-08
6,R001848,G002908,2021-08
7,R001849,G003068,2021-08
8,R001850,G000531,2021-08
9,R001851,G003879,2021-08
10,R001852,G004979,2021-08
11,R001853,G004156,2021-08
12,R001854,G002047,2021-08
13,R001855,G001549,2021-08
14,R001856,G000915,2021-08
15,R001857,G004528,2021-08
16,R001858,G004320,2021-08
17,R001859,G002533,2021-08
18,R001860,G005078,2021-08
19,R001861,G004437,2021-08
20,R001862,G001939,2021-08
21,R001863,G001693,2021-08
22,R001864,G004129,2021-08
23,R001865,G001197,2021-08
24,R001866,G003503,2021-08
25,R001867,G000932,2021-08
26,R001868,G000149,2021-08
27,R002881,G002264,2021-08
28,R002882,G000760,2021-08
29,R002883,G004961,2021-08
30,R002884,G003542,2021-08
31,R002885,G004556,2021-08
32,R002886,G001366,2021-08
33,R002887,G003792,2021-08
34,R002888,G003816,2021-08
35,R002889,G001984,2021-08
36,R002890,G003779,2021-08
37,R002891,G004773,2021-08
38,R002892,G003907,2021-08
39,R002893,G004088,2021-08
40,R002894,G003443,2021-08
41,R002895,G003693,2021-08
42,R002896,G003057,2021-08
43,R002897,G001593,2021-08
44,R002898,G001719,2021-08
45,R002899,G002701,2021-08
46,R002900,G003756,2021-08
47,R002901,G002614,2021-08
48,R002902,G004824,2021-08
49,R002903,G004552,2021-08
50,R002904,G000895,2021-08
51,R002905,G004648,2021-08
52,R002906,G001783,2021-08
53,R002907,G000413,2021-08
54,R002908,G004606,2021-08
55,R002909,G003481,2021-08
56,R002910,G005378,2021-08
57,R002911,G001415,2021-08
58,R002912,G002193,2021-08
59,R002913,G003324,2021-08
60,R002914,G000432,2021-08
61,R002915,G004203,2021-08
62,R002916,G005224,2021-08
63,R002917,G001127,2021-08
64,R002918,G001018,2021-08
65,R002919,G001004,2021-08
66,R002920,G004158,2021-08
67,R002921,G001219,2021-08
68,R002922,G002316,2021-08
69,R002923,G002005,2021-08
70,R002924,G004757,2021-08
71,R002925,G003085,2021-08
72,R002926,G002265,2021-08
73,R002927,G001590,2021-08
74,R002928,G001709,2021-08
75,R002929,G000659,2021-08
76,R002930,G002201,2021-08
77,R002931,G004347,2021-08
78,R002932,G000677,2021-08
