contrast_id,family,left_scenario,right_scenario,horizon_months,simulation_month,effect_magnitude,paired_cosine_displacement,alignment_with_full_horizon_direction,T_observed,raw_p,BH_q_secondary_40,reject_BH_0_05_secondary
full_policy,benchmark_horizon,P0,P_ABC,0,2021-08,0.1913143162027517,0.1173377363518445,1.0,0.1913143151261649,9.999000099990002e-05,,False
full_policy,benchmark_horizon,P0,P_ABC,6,2022-02,0.1672641132931321,0.1099962347179925,1.0,0.1672641146331971,9.999000099990002e-05,,False
full_policy,benchmark_horizon,P0,P_ABC,12,2022-08,0.1857795507598966,0.1201219577085664,1.0,0.1857795461154633,9.999000099990002e-05,,False
full_policy,benchmark_horizon,P0,P_ABC,24,2023-08,0.1828467211082208,0.1165428971927107,1.0,0.1828467206633767,9.999000099990002e-05,,False
full_policy,benchmark_horizon,P0,P_ABC,36,2024-08,0.1663720673244071,0.1158600557869631,1.0,0.1663720680106722,9.999000099990002e-05,,False
information,secondary_40,P0,P_NORM_ABC,0,2021-08,0.1913143162027517,0.1173377363518445,1.0,0.1913143151261649,9.999000099990002e-05,0.0001599840015998,True
information,secondary_40,P0,P_NORM_ABC,6,2022-02,0.09608604588467,0.0882424007418945,0.7753907583269295,0.0960860474143332,9.999000099990002e-05,0.0001599840015998,True
information,secondary_40,P0,P_NORM_ABC,12,2022-08,0.1236503179470661,0.1071828788309317,0.8173448186645288,0.1236503199976757,9.999000099990002e-05,0.0001599840015998,True
information,secondary_40,P0,P_NORM_ABC,24,2023-08,0.121177798098018,0.1037534471745384,0.8201480794558558,0.1211777979905308,9.999000099990002e-05,0.0001599840015998,True
information,secondary_40,P0,P_NORM_ABC,36,2024-08,0.1197478287259231,0.1007852120708474,0.7981656016666141,0.1197478306597224,9.999000099990002e-05,0.0001599840015998,True
state_given_information,secondary_40,P_NORM_ABC,P_ABC,0,2021-08,0.0,1.4294198782987396e-08,,0.0,1.0,1.0,False
state_given_information,secondary_40,P_NORM_ABC,P_ABC,6,2022-02,0.1108424250959543,0.0957252142093174,0.8368626111610871,0.1108424316641888,9.999000099990002e-05,0.0001599840015998,True
state_given_information,secondary_40,P_NORM_ABC,P_ABC,12,2022-08,0.1106880382863363,0.0993724132802701,0.7653456088653156,0.1106880425655824,9.999000099990002e-05,0.0001599840015998,True
